track,h,stage,model,pinball,rmse_chg,mae_chg,hit,cov10,cov50,cov90,wall_s,ratio_vs_ref,dm_t_vs_ref,dm_p_vs_ref,in_mcs90
trackA,1,raw,ar1,0.024131105463050317,0.09213785682395781,0.06025189252695324,0.502906605340488,0.10131595758272646,0.4963587581448831,0.8980771687747541,,0.9547444647496799,-5.891412123463272,3.829092678974133e-09,False
trackA,1,raw,har,0.023806692621014616,0.09137083702306321,0.05966626746517342,0.5438546058515396,0.10412674076913249,0.49655040245304716,0.8971189472339338,,0.9431715073355956,-12.444729059127134,1.4939044681310733e-35,False
trackA,1,raw,pcavar,0.024843173049264353,0.0931030293460058,0.0628791229703679,0.5309824964865211,0.10479749584770666,0.4950172479877348,0.8934457646607896,,1.0,,,False
trackA,1,raw,rw,0.024148529759218256,0.09226691362147625,0.06018999354599012,,0.1013478983007538,0.49773220902005877,0.8981091094927814,,0.9551049920848264,-6.080826131273268,1.1956489106829118e-09,False
trackA,1,raw,tfm25,0.023612192959207773,0.09232553263959725,0.05964654024100615,0.5398939568161493,0.07311230356458413,0.5257122780120097,0.9186469911843618,2.9855943529451943,0.934508487808357,-12.391412357448273,2.908749417302775e-35,True
trackA,1,raw,tfm3-mv-cov,0.023516414879922745,0.09183859473960915,0.05956721479650055,0.5571100038328861,0.11147310591542098,0.524243004982752,0.8952025041522933,2.2308241923319794,0.9303529256309174,-12.171166019718184,4.427126652896988e-34,True
trackA,1,raw,tfm3-mv,0.023559866087053623,0.09212848129038513,0.05962370603399494,0.559250031940718,0.09192538648268814,0.5091031046377923,0.9001852561645586,1.9952262726210597,0.9319637787704819,-13.729359538719418,6.772957315863275e-43,True
trackA,1,raw,tfm3-uni,0.023540066814257753,0.09234267415528677,0.059457914691555355,0.5616775265107959,0.0907435799156765,0.5036412418551169,0.896384310719305,0.6866673975315871,0.9308333928649231,-13.13840362827217,1.9836751406749616e-39,True
trackA,1,mz,ar1,0.023902702389345,0.09158626624044185,0.05974930874691179,0.541650696307653,0.10783186406030408,0.5049188705762105,0.8920723137856139,,0.9285462626216662,-11.616705613540159,3.3895593037296664e-31,True
trackA,1,mz,har,0.024034540532761394,0.09183270713181674,0.05981181305118062,0.5368276478855245,0.10674587964737448,0.4901941995656062,0.8932221796345982,,0.9344029484375449,-12.91004103220486,3.950904748447113e-38,True
trackA,1,mz,pcavar,0.025248894535942656,0.09343228740559058,0.06279711701382548,0.5353903155742941,0.10578765810655423,0.47898300753800943,0.8839274306886419,,1.0,,,False
trackA,1,mz,rw,0.023920830350770486,0.09166087379452961,0.059768763190827974,0.5446531238022231,0.10914143349942507,0.5074741280183979,0.8914334994250671,,0.9290105126337962,-11.939079196227341,7.403828221215414e-33,True
trackA,1,mz,tfm25,0.023849250527183993,0.09242520732265246,0.06037031245608018,0.5334419317746263,0.09594991695413313,0.5640730803628465,0.9235339210425451,2.9855943529451943,0.9270746307065144,-11.538796143293768,8.409388532818494e-31,True
trackA,1,mz,tfm3-mv-cov,0.023775162198702685,0.09202939398609827,0.0601842781182119,0.5408841190749968,0.14191261019547718,0.5599207870192922,0.9012392998594608,2.2308241923319794,0.9241697253296417,-11.869491934889055,1.7049990944333064e-32,True
trackA,1,mz,tfm3-mv,0.02382599532493862,0.09222313633016352,0.060347042358812615,0.5371470550657979,0.12533537753928709,0.5611664750223585,0.9091605979302415,1.9952262726210597,0.9261385501179101,-12.65303958338789,1.0762876014392523e-36,True
trackA,1,mz,tfm3-uni,0.023852522895582595,0.09232476922422454,0.060373856300097596,0.5317171330011499,0.1296154337549508,0.5629232145138623,0.9089689536220774,0.6866673975315871,0.9266982344570954,-11.801068790801988,3.8538522355904494e-32,True
trackA,5,raw,ar1,0.049745046462739535,0.1829772495943291,0.12339489442131055,0.47287199480181935,0.10360623781676413,0.49165042235217676,0.8912280701754386,,1.0283560198377757,3.3720259952707883,0.0007461740522997484,False
trackA,5,raw,har,0.04780616689546988,0.17659659683356044,0.11946198374162184,0.5848278102664067,0.10711500974658869,0.4988304093567251,0.8889863547758284,,0.9953766127439153,0.9724214693541127,0.3308409154592682,False
trackA,5,raw,pcavar,0.04747906914889041,0.17387133727461032,0.1198669241395191,0.5829109811565952,0.1077972709551657,0.49928525016244313,0.8866146848602989,,1.0,,,False
